Fasta_ID_alignment,Assigned_Hg_based_on_tree,node_of_assigned_monophyletic_clade,colour_name,colour_hex_code
I1748_Argentina_ArroyoSecoIi_d_7180_C1c,C,784,orange,#FFA600
CH19B_Uruguay_SanMiguel_d_1311_C1c,C,784,orange,#FFA600
I17113_Mexico_Sonora_c_1000_C1,C,784,orange,#FFA600
I17108_Mexico_Sonora_c_1000_C1,C,784,orange,#FFA600
I12571_Mexico_Cueva_d_1133_C1c5,C,784,orange,#FFA600
I17109_Mexico_Sonora_c_1000_C1c5,C,784,orange,#FFA600
I12362_Argentina_NorthOfTierraDelFuego_d_5820_C,C,784,orange,#FFA600
I2241_Peru_ElBrujo_c_925_C1c,C,784,orange,#FFA600
I2242_Peru_ElBrujo_d_685_C1c,C,784,orange,#FFA600
I12365_Argentina_NorthOfTierraDelFuego_d_740_C1c8,C,784,orange,#FFA600
I12367_Argentina_NorthOfTierraDelFuego_d_700_C1c8,C,784,orange,#FFA600
I0977_Bolivia_Tiwanaku_d_990_C1c,C,784,orange,#FFA600
S0977_Bolivia_Tiwanaku__c__1314_C1c,C,784,orange,#FFA600
I23711_Mexico_Sonora_d_879_C1c1b,C,784,orange,#FFA600
I11259_USA_Carmel_California_c_400_C1c1b,C,784,orange,#FFA600
I12941_Argentina_BeagleChannel_d_160_C1b,C,784,orange,#FFA600
I12355_Argentina_BeagleChannel_d_1490_C1b,C,784,orange,#FFA600
I12943_Argentina_BeagleChannel_d_180_C1b,C,784,orange,#FFA600
I12359_Argentina_TierraDelFuego_d_590_C1b,C,784,orange,#FFA600
I12942_Argentina_BeagleChannel_d_60_C1b,C,784,orange,#FFA600
I12358_Argentina_TierraDelFuego_d_440_C,C,784,orange,#FFA600
BTK141_Canada_Newfoundland__d__4353_C1b,C,784,orange,#FFA600
BTK146_Canada_Newfoundland__d__4058_C1b,C,784,orange,#FFA600
BTK41_Canada_Newfoundland__d__4007_C1b,C,784,orange,#FFA600
BTK144_Canada_Newfoundland__d__3976_C1b,C,784,orange,#FFA600
MW886105_Argentina_Ischil__n__d__431_C1b17,C,784,orange,#FFA600
MW886113_Argentina_PotrerilloDeLarreta__d__909_C1b17,C,784,orange,#FFA600
KU523312_Argentina_Llullaillaco__c__539_C1b,C,784,orange,#FFA600
I15677_DominicanRepublic_LaCaleta_d_855_C1d1,C,784,orange,#FFA600
I12341_DominicanRepublic_ElSoco_c_800_C1d1,C,784,orange,#FFA600
I12350_DominicanRepublic_ElSoco_c_800_C1d1,C,784,orange,#FFA600
