node,bootstrap,haplogroup,n_tips,tips,qualifies
231,100,A2b2,2,D_Illinois1_NA_AppleCreek_USA_c_2500_A2b2;D_Newfoundland1_4500_PortauChoix_Canada_d_4500_A2b2,TRUE
232,100,A2b2,5,D_Colorado1_800_YellowJacket_USA_c_800_A2b2;Mcz51780_JaguarCave_USA_NA;JR_75943_Jamestown_USA_c_409;D_Weyanoke1_680_Hatch_USA_d_680;JR_135139_Jamestown_USA_c_409,TRUE
234,100,A2b2,3,JR_75943_Jamestown_USA_c_409;D_Weyanoke1_680_Hatch_USA_d_680;JR_135139_Jamestown_USA_c_409,TRUE
251,100,A2b4,4,D_AngelMound2_1000_AngelMounds_USA_c_1000_A2b4;D_AngelMound3_1000_AngelMounds_USA_c_1000_A2b4;D_JaneyBGoode1_1000_JaneyBGoode_USA_c_1000;D_JaneyBGoode2_1000_JaneyBGoode_USA_c_1000_A2b_,TRUE
252,100,A2b4,2,D_AngelMound2_1000_AngelMounds_USA_c_1000_A2b4;D_AngelMound3_1000_AngelMounds_USA_c_1000_A2b4,TRUE
256,100,A2b4,3,D_Ohio4_2200_Scioto_USA_c_2200_A2b4;D_Ohio2_2200_Scioto_USA_c_2200_A2b4;D_Ohio6_2200_Scioto_USA_c_2200,TRUE
259,100,A2b4,2,D_Ohio5_2200_Scioto_USA_c_2200_A2b4;JR_68100_Jamestown_USA_c_409,TRUE
275,100,A2b5,2,D_California1_5000_NorthHead_USA_c_5000;D_California4_4000_CanadaVerde_USA_c_4000,TRUE
290,100,A1b1,3,ELOLIV-S-R27_El_Olivar_Chile_c_850;Obersten_Greenland_c_110_A1a;TRF.01.23_Deering_USA_c_400_A1b1,TRUE
291,100,A1b1,2,Obersten_Greenland_c_110_A1a;TRF.01.23_Deering_USA_c_400_A1b1,TRUE
294,100,A1b1,8,TRF.01.24_Deering_USA_c_422_A1a1;D_Nunavut3_650_Tikilik_Nunavut_c_650_A2a1;D_Alaska1_212_CapeEspenberg_Alaska_c_212_A1b1;D_Alaska1_620_CapeEspenberg_Alaska_c_620_A1b1;D_Alaska2_500_Nunalleq_USA_c_500;D_Alaska3_500_Nunalleq_USA_c_500_A1b1;D_Alaska1_500_Nunalleq_USA_c_500;D_Alaska5_500_Nunalleq_USA_c_500,TRUE
162,99,A2b1a,35,AM-VH-21_VistaHermosa_Mexico_c_600;0204-0531_Wichqana_Peru_c_2675;Nunura_15_HuacaAmarilla_Peru_c_825;SC1061_Chondorko_Ecuador_c_833_A2b1a;D_Argentina1_1000_CerroLutz_Argentina_c_1000_A2b1a;PM4-N3_PlayaMiller-4_Chile_d_1008;Til_1_n8_Pucar_deTilcara_Argentina_d_750;700_00_Chondorko_Ecuador_d_843;Nunura_13_HuacaAmarilla_Peru_c_825;Individuo_1_Pucar_deTilcara_Argentina_d_425;SC1056_Tilcara_Argentina_c_950;Nunura_4_HuacaAmarilla_Peru_d_882;Nunura_16_HuacaAmarilla_Peru_c_825;Nunura_25_HuacaGrande_Peru_d_883;Nunura_30_HuacaGrande_Peru_d_883;Nunura_1_HuacaAmarilla_Peru_d_720;Nunura_26_HuacaGrande_Peru_d_883;Nunura_2_HuacaAmarilla_Peru_d_720;Nunura_17_HuacaAmarilla_Peru_d_846.5;Nunura_18_HuacaAmarilla_Peru_d_846.5;Nunura_19_HuacaAmarilla_Peru_d_865;Nunura_29_HuacaGrande_Peru_d_883;Nunura_28_HuacaGrande_Peru_d_883;Nunura_24_HuacaGrande_Peru_d_883;Nunura_12_HuacaAmarilla_Peru_c_825;Nunura_20_HuacaAmarilla_Peru_d_865;Nunura_31_HuacaGrande_Peru_d_883;Nunura_10_HuacaAmarilla_Peru_d_882.5;Nunura_22_HuacaAmarilla_Peru_c_825;Nunura_23_HuacaGrande_Peru_d_882.5;Nunura_27_HuacaGrande_Peru_d_883;Nunura_5_HuacaAmarilla_Peru_d_882.5;0126-0384_Chilca_Peru_c_750_A2b1a;D_Mayapan1_450_Mayapan_Mexico_c_450;MCZ39564_Caylloma_Peru_NA,TRUE
184,99,A2b1a,5,Nunura_2_HuacaAmarilla_Peru_d_720;Nunura_17_HuacaAmarilla_Peru_d_846.5;Nunura_18_HuacaAmarilla_Peru_d_846.5;Nunura_12_HuacaAmarilla_Peru_c_825;Nunura_20_HuacaAmarilla_Peru_d_865,TRUE
187,99,A2b1a,2,Nunura_17_HuacaAmarilla_Peru_d_846.5;Nunura_18_HuacaAmarilla_Peru_d_846.5,TRUE
208,99,A2b1a,3,Az-1944_LasGolondrinas_Mexico_c_1525;Az-1934_TizayucaR5_Mexico_d_1020_A2b1a;Az-314_TizayucaR6_Mexico_d_980_A2b1a,TRUE
