Fasta_ID_alignment,Assigned_Hg_based_on_tree,colour_name,colour_hex_code
I6235_Belize_MayahakCabPek_d_4523_A264,A2,red,#E7180B
I7090_Argentina_ArroyoSecoIi_d_7162_C1c,C,orange,#FFA600
I7965_DominicanRepublic_CuevaJuana_d_1230_A264,A2,red,#E7180B
I7966_DominicanRepublic_CuevaJuana_d_1249_C1b2,C,orange,#FFA600
I7967_DominicanRepublic_CuevaJuana_d_1228_D1,D,green,#007C66
I7968_DominicanRepublic_CuevaJuana_d_1015_D1,D,green,#007C66
I7970_DominicanRepublic_LaUnion_d_600_C1b2,C,orange,#FFA600
I7971_DominicanRepublic_LaUnion_d_624_A2,A2,red,#E7180B
I7977_DominicanRepublic_CuevaRoja_d_1887_C1d1,C,orange,#FFA600
I8041_Belize_MayahakCabPek_d_4079_A264,A2,red,#E7180B
I8121_DominicanRepublic_ElSoco_c_800_C1b2,C,orange,#FFA600
I8122_DominicanRepublic_ElSoco_c_800_A2z,A2,red,#E7180B
I8348_Argentina_Pampas__d_d_6875_B2b,B2,blue,#377CEF
I8575_Chile_CerroJohnny_d_424_D1g,D,green,#007C66
I8576_Chile_FaroM__ndez_c_100_D1g,D,green,#007C66
KP300790_Peru_Lauricocha__c_c_8536_A2as,A2,red,#E7180B
KP300791.1_Peru_Lauricocha__c__8450_A2,A2,red,#E7180B
KP300792_Peru_Lauricocha__d__3572_A2,A2,red,#E7180B
KP300793_Peru_Lauricocha__d__5921_A2,A2,red,#E7180B
KP300794_Peru_Lauricocha__d__8650_B2ab,B2,blue,#377CEF
KU523279_Peru_HuacaPucllana__c__744_B2q1b,B2,blue,#377CEF
KU523284_Peru_HuacaPucllana__c__744_B2,B2,blue,#377CEF
KU523289_Chile_Pica−8__c__776_B2,B2,blue,#377CEF
KU523292_Peru_PuebloViejo__c__509_B2aa1,B2,blue,#377CEF
KU523293_Peru_PuebloViejo__c__509_B2aa1a,B2,blue,#377CEF
KU523294_Peru_PuebloViejo__c__509_B2aa1a,B2,blue,#377CEF
KU523297_Peru_Pasamayo__c__779_B2aa1a,B2,blue,#377CEF
KU523298_Peru_Pasamayo__c__779_B2b9b,B2,blue,#377CEF
KU523299_Bolivia_Tiwanaku__c__1314_B2,B2,blue,#377CEF
KU523304_Mexico_CuevaCandelaria__c__714_B2,B2,blue,#377CEF
KU523305_Mexico_CuevaCandelaria__c__714_B2,B2,blue,#377CEF
KU523306_Mexico_CuevaCandelaria__c__714_B2,B2,blue,#377CEF
KU523307_Mexico_CuevaCandelaria__c__714_B2,B2,blue,#377CEF
KU523312_Argentina_Llullaillaco__c__539_C1b,C,orange,#FFA600
KU523317_Peru_HuacaPucllana__c__744_C1b19,C,orange,#FFA600
KU523318_Peru_HuacaPucllana__c__1264_C1b19,C,orange,#FFA600
KU523319_Peru_HuacaPucllana__c__1639_C1b19,C,orange,#FFA600
KU523320_Peru_HuacaPucllana__c__1264_C1b,C,orange,#FFA600
KU523321_Peru_HuacaPucllana__c__1264_C1b19,C,orange,#FFA600
KU523326_Peru_PuebloViejo__c__1164_C1b,C,orange,#FFA600
KU523327_Peru_PuebloViejo__c__1264_C1b,C,orange,#FFA600
KU523328_Peru_PuebloViejo__c__779_C1b,C,orange,#FFA600
KU523336_Bolivia_Tiwanaku__c__1314_C1,C,orange,#FFA600
KU523337_Bolivia_Tiwanaku__c__1314_C1b,C,orange,#FFA600
KU523338_Mexico_CuevaCandelaria__c__714_C1b,C,orange,#FFA600
KU523341_Argentina_Llullaillaco__c__539_D1,D,green,#007C66
KU523347_Peru_PuebloViejo__c__1639_D1,D,green,#007C66
KU523348_Peru_Pasamayo__c__699_D1,D,green,#007C66
L_AnseAmour_Canada_Newfoundland__d__7714_C1c,C,orange,#FFA600
LIB2__Peru_HuacaPucllana__c__1264_B2b,B2,blue,#377CEF
LLP.S2.E1_Argentina_LagunaDeLosPampas__d__9998.5_D1j,D,green,#007C66
LP13.2_Peru_HuacaPucllana__c__1264_B2,B2,blue,#377CEF
LP13.4_Peru_HuacaPucllana__c__1264_B2b,B2,blue,#377CEF
LP14.4_Peru_HuacaPucllana__c__1264_B2,B2,blue,#377CEF
LP14.5_Peru_HuacaPucllana__c__1264_B2,B2,blue,#377CEF
LP17.8_Peru_HuacaPucllana__c__1264_A2,A2,red,#E7180B
LP20.1_Peru_HuacaPucllana__c__1264_B2b,B2,blue,#377CEF
LP20.3_Peru_HuacaPucllana__c__1264_B2b,B2,blue,#377CEF
LP20.4_Peru_HuacaPucllana__c__1264_A2,A2,red,#E7180B
LP20.5_Peru_HuacaPucllana__c__1264_B2,B2,blue,#377CEF
LP22.6_Chile_Pica−8__c__776_B2,B2,blue,#377CEF
LP22.8_Chile_Pica−8__c__776_B2,B2,blue,#377CEF
LP40.1_Peru_HuacaPucllana__c__1264_B2b,B2,blue,#377CEF
LP40.2_Peru_HuacaPucllana__c__1264_B2b,B2,blue,#377CEF
LP40.4_Peru_HuacaPucllana__c__1264_A2,A2,red,#E7180B
LP40.5_Peru_Pasamayo__c__710_A2,A2,red,#E7180B
MW886102_Argentina_ElDiquecito__d__1069_D1j1,D,green,#007C66
MW886103_Argentina_ElVado__d__2123_B2ak1a,B2,blue,#377CEF
MW886104_Argentina_LomaBola__d__819_B2ak,B2,blue,#377CEF
MW886105_Argentina_Ischil__n__d__431_C1b17,C,orange,#FFA600
MW886106_Argentina_PotreroDeGaray__d__789_D1g5,D,green,#007C66
MW886107_Argentina_ElDiquecito__d__2454_C1b,C,orange,#FFA600
MW886108_Argentina_ElDiquecito__d__2520_C1d1b2,C,orange,#FFA600
MW886109_Argentina_ElDiquecito__d__613_D1g5a,D,green,#007C66
MW886110_Argentina_ElDiquecito__d__2288_C1b,C,orange,#FFA600
MW886111_Argentina_EstanciaLaElisa__d__4538_C1b,C,orange,#FFA600
MW886112_Argentina_Loteo5__d__555_B2ak1a,B2,blue,#377CEF
MW886113_Argentina_PotrerilloDeLarreta__d__909_C1b17,C,orange,#FFA600
MW886114_Argentina_Loteo5__d__555_B2ak1a,B2,blue,#377CEF
MW886115_Argentina_Ayampit__n__d__577_C1b,C,orange,#FFA600
MW886116_Argentina_AlpaCorral__d__5069_B2ak1,B2,blue,#377CEF
MW886117_Argentina_PotreroDeGaray__d__914_B2ak1a,B2,blue,#377CEF
MW886118_Argentina_Guasmara__d__814_A2bb1,A2,red,#E7180B
MW886119_Argentina_Copina__d__608_A2bc,A2,red,#E7180B
MW886120_Argentina_LaGranja__d__1167_C1b16,C,orange,#FFA600
MW886122_Argentina_ColoniaMuller__d__1441_B2,B2,blue,#377CEF
MW886123_Argentina_RoscaYaco__d__696_B2ak1a,B2,blue,#377CEF
S0179_Peru_LaGalgada__c__4000_B2,B2,blue,#377CEF
S0181_Peru_LaGalgada__c__4000_A2,A2,red,#E7180B
S0187_Peru_LaGalgada__c__4000_D1,D,green,#007C66
S0237_Peru_ChullpaBotigiriayocc__c__800_B2,B2,blue,#377CEF
S0284_Peru_Jauranga__c__1650_B2,B2,blue,#377CEF
S0287_Peru_LosMolinos__c__1900_B2,B2,blue,#377CEF
S0300_Peru_SanSebastian__c__550_A2,A2,red,#E7180B
S0301_Peru_SanSebastian__c__550_C1d,C,orange,#FFA600
S0309_Argentina_ArroyoSeco2__d__7755_D1,D,green,#007C66
S0315_Chile_Camarones__c__3750_A2,A2,red,#E7180B
S0322_Chile_Pica−8__c__750_A2,A2,red,#E7180B
S0323_Chile_Pica−8__c__750_A2,A2,red,#E7180B
S0324_Peru_HuacaPrieta__c__1400_C1b,C,orange,#FFA600
S0352_Argentina_ArroyoSeco2__d__7755_A2,A2,red,#E7180B
S0976_Bolivia_Tiwanaku__c__1314_B2,B2,blue,#377CEF
S0977_Bolivia_Tiwanaku__c__1314_C1c,C,orange,#FFA600
S0978_Bolivia_Tiwanaku__c__1314_B2,B2,blue,#377CEF
S0979_Bolivia_Tiwanaku__c__1314_B2,B2,blue,#377CEF
UB3_Colombia_Ubat____d__5620_A264,A2,red,#E7180B
USR1_Usa_UpwardSunRiver__c_c_11425_C1b,C,orange,#FFA600
USR2_Usa_UpwardSunRiver__c_c_11425_B2,B2,blue,#377CEF
VIS3_Colombia_VistaHermosa__d__3272.5_B2,B2,blue,#377CEF
VIS4_Colombia_VistaHermosa__d__3272.5_C1b,C,orange,#FFA600
VIS5_Colombia_VistaHermosa__d__3272.5_C1b,C,orange,#FFA600
