Author_name ,Date_Published ,Paper_title ,Abbrev_name,Link_to_source
Fransisco Carnese,2009,"Paleogenetical study of pre-Columbian samples from Pampa Grande (Salta, Argentina)",,https://onlinelibrary.wiley.com/doi/10.1002/ajpa.21165
Xavier Roca-Rada,2021,Ancient mitochondrial genomes from the Argentinian Pampas inform the early peopling of the Southern Cone of South America,RocaRadaiScience2021,https://www.cell.com/iscience/fulltext/S2589-0042(21)00521-6?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS2589004221005216%3Fshowall%3Dtrue
Monica Sans,2015,"A South American Prehistoric Mitogenome: Context, Continuity, and the Origin of Haplogroup C1d",SansPLosOne2015,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0141808
Justin Tackney ,2015,Two contemporaneous mitogenomes from terminal Pleistocene burials in eastern Beringia,TackneyPNAS2015,https://www.pnas.org/doi/full/10.1073/pnas.1511903112
Maanasa Raghavan,2014,Upper Palaeolithic Siberian genome reveals dual ancestry of Native Americans,RaghavanNature2014,https://www.nature.com/articles/nature12736
John Lindo,2017,"Ancient individuals from the North American Northwest Coast reveal 10,000 years of regional genetic continuity",LindoPNAS2017,https://www.pnas.org/doi/full/10.1073/pnas.1620410114
Brian Kemp,2007,Genetic Analysis of Early Holocene SkeletalRemains From Alaska and its Implications for the Settlement of the Americas,Kemp B. M,https://onlinelibrary.wiley.com/doi/epdf/10.1002/ajpa.20543?saml_referrer
He Yu,2020,Paleolithic to Bronze Age Siberians Reveal Connections with First Americans and across Eurasia,YuCell2020,https://www.cell.com/cell/fulltext/S0092-8674(20)30502-X?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS009286742030502X%3Fshowall%3Dtrue
Gulsah Kilinc,2018,Investigating Holocene human population history in North Asia using ancient mitogenomes,,https://www.nature.com/articles/s41598-018-27325-0#additional-information
Díaz-Matallana,2016,"Genetic analysis of paleo-Colombians from Nemocón, Cundinamarca provides revelations about the early settlement of Northwest South America",DiazMatallana2016,https://raccefyn.co/index.php/raccefyn/article/view/328/227
Miguel Delgado,2021,A paleogenetic perspective of the Sabana de Bogotá (Northern South America) population history over the Holocene (9000–550 cal BP),DelgadoQuaternaryInternational2020,https://www.sciencedirect.com/science/article/pii/S1040618220304961?via%3Dihub
